mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
4.7,"13 km S of Odala, Philippines",1685408671759,1691273259040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4w2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4w2&format=geojson,,,,,reviewed,0,340,us,7000k4w2,",us7000k4w2,",",us,",",origin,phase-data,",90.0,9.892,0.67,105.0,mb,earthquake,"M 4.7 - 13 km S of Odala, Philippines"
5.8,"Volcano Islands, Japan region",1685407926179,1691273259040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4w1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4w1&format=geojson,,,3.073,green,reviewed,0,518,us,7000k4w1,",usauto7000k4w1,pt23150000,at00rvg531,us7000k4w1,",",usauto,pt,at,us,",",internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",149.0,9.147,0.59,33.0,mww,earthquake,"M 5.8 - Volcano Islands, Japan region"
5.5,southwest of Africa,1685397125387,1691273259040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4ug,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4ug&format=geojson,,,0.0,green,reviewed,0,465,us,7000k4ug,",us7000k4ug,",",us,",",earthquake-name,losspager,moment-tensor,origin,phase-data,shakemap,",207.0,19.753,0.67,39.0,mww,earthquake,M 5.5 - southwest of Africa
4.8,Vanuatu region,1685387395029,1691273259040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4tn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4tn&format=geojson,,,,,reviewed,0,354,us,7000k4tn,",us7000k4tn,",",us,",",origin,phase-data,",154.0,8.091,0.61,42.0,mb,earthquake,M 4.8 - Vanuatu region
4.5,"Kermadec Islands, New Zealand",1685380825754,1691273277040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k6fl,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k6fl&format=geojson,,,,,reviewed,0,312,us,7000k6fl,",us7000k6fl,",",us,",",origin,phase-data,",26.0,0.493,0.82,52.0,mb,earthquake,"M 4.5 - Kermadec Islands, New Zealand"
4.6,"26 km W of Ipil, Philippines",1685380096394,1691273259040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4t6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4t6&format=geojson,2.0,5.0,,,reviewed,0,327,us,7000k4t6,",us7000k4t6,",",us,",",dyfi,origin,phase-data,",95.0,2.746,0.85,84.0,mb,earthquake,"M 4.6 - 26 km W of Ipil, Philippines"
4.5,southeast of the Loyalty Islands,1685372922644,1691273277040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k6fi,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k6fi&format=geojson,,,,,reviewed,0,312,us,7000k6fi,",us7000k6fi,",",us,",",origin,phase-data,",17.0,4.177,0.68,118.0,mb,earthquake,M 4.5 - southeast of the Loyalty Islands
4.9,"101 km WNW of Candelaria, Argentina",1685372550096,1691273258040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4sd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4sd&format=geojson,1.0,2.9,,,reviewed,0,370,us,7000k4sd,",us7000k4sd,",",us,",",dyfi,origin,phase-data,",85.0,1.604,0.78,28.0,mb,earthquake,"M 4.9 - 101 km WNW of Candelaria, Argentina"
4.6,"208 km ENE of Lospalos, Timor Leste",1685368372089,1691273258040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4s8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4s8&format=geojson,,,,,reviewed,0,326,us,7000k4s8,",us7000k4s8,",",us,",",origin,phase-data,",47.0,3.331,0.68,48.0,mb,earthquake,"M 4.6 - 208 km ENE of Lospalos, Timor Leste"
5.2,"13 km NW of Port-Olry, Vanuatu",1685354697635,1691273258040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4rv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4rv&format=geojson,3.0,4.1,,,reviewed,0,417,us,7000k4rv,",us7000k4rv,",",us,",",dyfi,moment-tensor,origin,phase-data,",96.0,6.128,1.17,28.0,mww,earthquake,"M 5.2 - 13 km NW of Port-Olry, Vanuatu"
4.8,Mid-Indian Ridge,1685352152364,1705608091564,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k6fc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k6fc&format=geojson,,,,,reviewed,0,354,us,7000k6fc,",us7000k6fc,",",us,",",earthquake-name,origin,phase-data,",35.0,0.643,0.9,48.0,mb,earthquake,M 4.8 - Mid-Indian Ridge
4.6,south of the Fiji Islands,1685349673877,1691273258040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4ri,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4ri&format=geojson,,,,,reviewed,0,326,us,7000k4ri,",us7000k4ri,",",us,",",origin,phase-data,",51.0,2.846,0.48,47.0,mb,earthquake,M 4.6 - south of the Fiji Islands
4.5,south of the Kermadec Islands,1685348903606,1691273276040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k6fb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k6fb&format=geojson,,,,,reviewed,0,312,us,7000k6fb,",us7000k6fb,",",us,",",origin,phase-data,",18.0,3.755,1.19,162.0,mb,earthquake,M 4.5 - south of the Kermadec Islands
4.5,"140 km W of Buala, Solomon Islands",1685342686938,1691273258040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4r2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4r2&format=geojson,,,,,reviewed,0,312,us,7000k4r2,",us7000k4r2,",",us,",",origin,phase-data,",34.0,2.037,0.53,66.0,mb,earthquake,"M 4.5 - 140 km W of Buala, Solomon Islands"
5.1,"42 km N of Pucallpa, Peru",1685336253602,1691273258040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4qj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4qj&format=geojson,1.0,5.6,,,reviewed,0,401,us,7000k4qj,",us7000k4qj,",",us,",",dyfi,moment-tensor,origin,phase-data,",264.0,1.851,0.71,51.0,mww,earthquake,"M 5.1 - 42 km N of Pucallpa, Peru"
4.5,Owen Fracture Zone region,1685329088829,1691273258040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4q5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4q5&format=geojson,,,,,reviewed,0,312,us,7000k4q5,",us7000k4q5,",",us,",",origin,phase-data,",64.0,10.393,0.39,101.0,mb,earthquake,M 4.5 - Owen Fracture Zone region
4.9,"6 km NNW of Dhekiajuli, India",1685327611480,1692026338836,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4q0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4q0&format=geojson,8.0,4.6,,,reviewed,0,373,us,7000k4q0,",us7000k4q0,",",us,",",dyfi,origin,phase-data,",143.0,3.157,0.74,80.0,mb,earthquake,"M 4.9 - 6 km NNW of Dhekiajuli, India"
4.6,"244 km NE of Bamboo Flat, India",1685326697682,1691273258040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4px,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4px&format=geojson,,,,,reviewed,0,326,us,7000k4px,",us7000k4px,",",us,",",origin,phase-data,",73.0,4.928,0.41,70.0,mb,earthquake,"M 4.6 - 244 km NE of Bamboo Flat, India"
4.5,southeast of the Loyalty Islands,1685321656092,1705608082831,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k6f5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k6f5&format=geojson,,,,,reviewed,0,312,us,7000k6f5,",us7000k6f5,",",us,",",earthquake-name,origin,phase-data,",23.0,3.221,0.86,132.0,mb,earthquake,M 4.5 - southeast of the Loyalty Islands
4.5,Pacific-Antarctic Ridge,1685303213553,1691273268040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k5th,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k5th&format=geojson,,,,,reviewed,0,312,us,7000k5th,",us7000k5th,",",us,",",origin,phase-data,",20.0,31.959,0.58,63.0,mb,earthquake,M 4.5 - Pacific-Antarctic Ridge
4.9,"10 km SSE of Huambo, Peru",1685300901236,1691273257040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4nj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4nj&format=geojson,,,,,reviewed,0,369,us,7000k4nj,",us7000k4nj,",",us,",",origin,phase-data,",96.0,3.024,0.73,99.0,mb,earthquake,"M 4.9 - 10 km SSE of Huambo, Peru"
4.5,Eastern Xizang,1685299882818,1691273257040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4ne,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4ne&format=geojson,,,,,reviewed,0,312,us,7000k4ne,",us7000k4ne,",",us,",",origin,phase-data,",83.0,1.072,0.86,53.0,mb,earthquake,M 4.5 - Eastern Xizang
5.1,Pacific-Antarctic Ridge,1685297109766,1691273257040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4na,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4na&format=geojson,,,,,reviewed,0,400,us,7000k4na,",us7000k4na,",",us,",",origin,phase-data,",41.0,26.204,0.74,48.0,mb,earthquake,M 5.1 - Pacific-Antarctic Ridge
4.5,"32 km SW of Tungor, Russia",1685296991263,1691273257040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4n7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4n7&format=geojson,,,,,reviewed,0,312,us,7000k4n7,",us7000k4n7,",",us,",",origin,phase-data,",100.0,6.202,0.69,95.0,mb,earthquake,"M 4.5 - 32 km SW of Tungor, Russia"
4.9,"108 km WNW of Lata, Solomon Islands",1685290436572,1691273257040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4n2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4n2&format=geojson,,,,,reviewed,0,369,us,7000k4n2,",us7000k4n2,",",us,",",origin,phase-data,",42.0,4.923,0.75,99.0,mb,earthquake,"M 4.9 - 108 km WNW of Lata, Solomon Islands"
5.2,"1 km W of Aratoca, Colombia",1685288757185,1691273257040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4mu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4mu&format=geojson,39.0,4.2,,,reviewed,0,432,us,7000k4mu,",us7000k4mu,",",us,",",dyfi,moment-tensor,origin,phase-data,",90.0,0.8,0.7,39.0,mww,earthquake,"M 5.2 - 1 km W of Aratoca, Colombia"
4.7,"2 km NE of Jalālābād, Afghanistan",1685278613671,1691273257040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4m8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4m8&format=geojson,3.0,2.0,,,reviewed,0,340,us,7000k4m8,",us7000k4m8,",",us,",",dyfi,origin,phase-data,",53.0,1.178,0.53,145.0,mb,earthquake,"M 4.7 - 2 km NE of Jalālābād, Afghanistan"
5.1,"42 km W of Kimbe, Papua New Guinea",1685278359160,1691273257040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4m6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4m6&format=geojson,2.0,2.2,,,reviewed,0,401,us,7000k4m6,",us7000k4m6,",",us,",",dyfi,origin,phase-data,",82.0,2.733,0.64,48.0,mww,earthquake,"M 5.1 - 42 km W of Kimbe, Papua New Guinea"
4.5,"39 km ESE of Minuri, Philippines",1685256234375,1691273268040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k5t2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k5t2&format=geojson,,,,,reviewed,0,312,us,7000k5t2,",us7000k5t2,",",us,",",origin,phase-data,",83.0,6.473,0.57,117.0,mb,earthquake,"M 4.5 - 39 km ESE of Minuri, Philippines"
5.3,"34 km SE of Jurm, Afghanistan",1685252996585,1691273256040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4kr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4kr&format=geojson,18.0,5.3,,,reviewed,0,442,us,7000k4kr,",us7000k4kr,usauto7000k4kr,",",us,usauto,",",dyfi,impact-text,internal-moment-tensor,moment-tensor,origin,phase-data,",130.0,2.613,0.67,45.0,mww,earthquake,"M 5.3 - 34 km SE of Jurm, Afghanistan"
5.6,"82 km WNW of Kirakira, Solomon Islands",1685244594262,1691273256040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4jy,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4jy&format=geojson,1.0,3.8,4.26,green,reviewed,0,483,us,7000k4jy,",us7000k4jy,usauto7000k4jy,",",us,usauto,",",dyfi,internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",118.0,1.45,0.86,21.0,mww,earthquake,"M 5.6 - 82 km WNW of Kirakira, Solomon Islands"
4.5,"near the east coast of the Kamchatka Peninsula, Russia",1685236662334,1691273256040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4jg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4jg&format=geojson,,,,,reviewed,0,312,us,7000k4jg,",us7000k4jg,",",us,",",origin,phase-data,",67.0,2.161,0.82,108.0,mb,earthquake,"M 4.5 - near the east coast of the Kamchatka Peninsula, Russia"
4.5,"25 km N of Rangāpāra, India",1685223393057,1690668044040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4iq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4iq&format=geojson,1.0,3.1,,,reviewed,0,312,us,7000k4iq,",us7000k4iq,",",us,",",dyfi,origin,phase-data,",26.0,2.96,0.64,116.0,mb,earthquake,"M 4.5 - 25 km N of Rangāpāra, India"
4.9,Banda Sea,1685216196278,1690668044040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4i5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4i5&format=geojson,,,,,reviewed,0,369,us,7000k4i5,",us7000k4i5,",",us,",",origin,phase-data,",80.0,1.677,0.62,56.0,mww,earthquake,M 4.9 - Banda Sea
4.9,Svalbard region,1685205976224,1690668044040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4hq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4hq&format=geojson,,,,,reviewed,0,369,us,7000k4hq,",us7000k4hq,",",us,",",origin,phase-data,",63.0,0.987,0.95,74.0,mb,earthquake,M 4.9 - Svalbard region
5.5,South Sandwich Islands region,1685200907273,1690668044040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4gs,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4gs&format=geojson,,,3.503,green,reviewed,0,465,us,7000k4gs,",usauto7000k4gs,us7000k4gs,",",usauto,us,",",internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",54.0,7.102,0.84,63.0,mww,earthquake,M 5.5 - South Sandwich Islands region
4.8,"57 km WSW of Kurio, Japan",1685195532351,1690668044040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4gp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4gp&format=geojson,,,,,reviewed,0,354,us,7000k4gp,",us7000k4gp,",",us,",",origin,phase-data,",45.0,1.573,0.59,117.0,mb,earthquake,"M 4.8 - 57 km WSW of Kurio, Japan"
4.5,"8 km SW of Corozal, Colombia",1685167271791,1690668043040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4ez,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4ez&format=geojson,,,,,reviewed,0,312,us,7000k4ez,",us7000k4ez,",",us,",",origin,phase-data,",41.0,0.658,0.48,143.0,mb,earthquake,"M 4.5 - 8 km SW of Corozal, Colombia"
4.5,"28 km ENE of Hinatuan, Philippines",1685166767630,1690668043040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4ex,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4ex&format=geojson,,,,,reviewed,0,312,us,7000k4ex,",us7000k4ex,",",us,",",origin,phase-data,",35.0,1.689,0.87,137.0,mb,earthquake,"M 4.5 - 28 km ENE of Hinatuan, Philippines"
4.6,"230 km NNW of Rio Preto da Eva, Brazil",1685158071559,1690668049040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k5r6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k5r6&format=geojson,,,,,reviewed,0,326,us,7000k5r6,",us7000k5r6,",",us,",",origin,phase-data,",32.0,9.577,0.91,64.0,mb,earthquake,"M 4.6 - 230 km NNW of Rio Preto da Eva, Brazil"
4.8,southeast of the Loyalty Islands,1685154893745,1690668043040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4e1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4e1&format=geojson,,,,,reviewed,0,354,us,7000k4e1,",us7000k4e1,",",us,",",origin,phase-data,",35.0,3.016,0.89,108.0,mb,earthquake,M 4.8 - southeast of the Loyalty Islands
6.0,Tonga,1685146260804,1690668043040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4dc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4dc&format=geojson,1.0,2.0,3.624,green,reviewed,0,554,us,7000k4dc,",us7000k4dc,usauto7000k4dc,pt23147000,",",us,usauto,pt,",",dyfi,ground-failure,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",142.0,1.136,0.57,24.0,mww,earthquake,M 6.0 - Tonga
6.0,West Chile Rise,1685139505271,1690668043040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4cr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4cr&format=geojson,,,0.0,green,reviewed,0,554,us,7000k4cr,",usauto7000k4cr,us7000k4cr,",",usauto,us,",",internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",101.0,11.441,0.56,44.0,mww,earthquake,M 6.0 - West Chile Rise
4.5,"178 km WNW of Tual, Indonesia",1685136841380,1690668043040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4cm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4cm&format=geojson,,,,,reviewed,0,312,us,7000k4cm,",us7000k4cm,",",us,",",origin,phase-data,",35.0,1.443,0.81,50.0,mb,earthquake,"M 4.5 - 178 km WNW of Tual, Indonesia"
5.0,Prince Edward Islands region,1685136827334,1690668043040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4cn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4cn&format=geojson,,,,,reviewed,0,385,us,7000k4cn,",us7000k4cn,",",us,",",origin,phase-data,",71.0,9.585,0.59,24.0,mb,earthquake,M 5.0 - Prince Edward Islands region
4.5,"144 km SSW of Merizo Village, Guam",1685118321916,1690668049040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k5ig,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k5ig&format=geojson,,,,,reviewed,0,312,us,7000k5ig,",us7000k5ig,",",us,",",origin,phase-data,",20.0,3.538,0.61,87.0,mb,earthquake,"M 4.5 - 144 km SSW of Merizo Village, Guam"
4.5,Kuril Islands,1685111097770,1690668041040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k496,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k496&format=geojson,,,,,reviewed,0,312,us,7000k496,",us7000k496,",",us,",",origin,phase-data,",53.0,6.988,0.48,134.0,mb,earthquake,M 4.5 - Kuril Islands
4.9,"Oruro-Potosi border region, Bolivia",1685108552428,1690668040040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k47a,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k47a&format=geojson,,,,,reviewed,0,369,us,7000k47a,",us7000k47a,",",us,",",origin,phase-data,",60.0,2.346,0.99,54.0,mb,earthquake,"M 4.9 - Oruro-Potosi border region, Bolivia"
4.6,"15 km SSE of Asahi, Japan",1685102510681,1690668040040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k46v,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k46v&format=geojson,2.0,3.8,,,reviewed,0,326,us,7000k46v,",us7000k46v,",",us,",",dyfi,origin,phase-data,",68.0,2.244,0.65,101.0,mb,earthquake,"M 4.6 - 15 km SSE of Asahi, Japan"
4.7,southeast of the Loyalty Islands,1685101335143,1690668040040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k46r,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k46r&format=geojson,,,,,reviewed,0,340,us,7000k46r,",us7000k46r,",",us,",",origin,phase-data,",32.0,3.046,0.33,132.0,mb,earthquake,M 4.7 - southeast of the Loyalty Islands
6.1,"12 km SE of Narutō, Japan",1685095404100,1690668040040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k46f,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k46f&format=geojson,190.0,5.6,4.868,green,reviewed,0,679,us,7000k46f,",us7000k46f,usauto7000k46f,pt23146000,at00rv9fxn,",",us,usauto,pt,at,",",dyfi,ground-failure,impact-text,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",259.0,2.102,0.57,51.0,mww,earthquake,"M 6.1 - 12 km SE of Narutō, Japan"
5.2,"46 km E of Kandrian, Papua New Guinea",1685066882445,1690668039040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k44x,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k44x&format=geojson,1.0,3.1,,,reviewed,0,416,us,7000k44x,",us7000k44x,",",us,",",dyfi,origin,phase-data,",69.0,2.757,0.63,54.0,mww,earthquake,"M 5.2 - 46 km E of Kandrian, Papua New Guinea"
4.6,western Indian-Antarctic Ridge,1685058921879,1690668039040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k44m,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k44m&format=geojson,,,,,reviewed,0,326,us,7000k44m,",us7000k44m,",",us,",",origin,phase-data,",21.0,16.434,0.57,71.0,mb,earthquake,M 4.6 - western Indian-Antarctic Ridge
4.7,"64 km W of Gunungsitoli, Indonesia",1685054276280,1690668038040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k446,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k446&format=geojson,2.0,4.3,,,reviewed,0,341,us,7000k446,",us7000k446,",",us,",",dyfi,origin,phase-data,",57.0,0.541,0.66,89.0,mb,earthquake,"M 4.7 - 64 km W of Gunungsitoli, Indonesia"
4.5,southeast of the Loyalty Islands,1685049968768,1690668048040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k5bi,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k5bi&format=geojson,,,,,reviewed,0,312,us,7000k5bi,",us7000k5bi,",",us,",",origin,phase-data,",23.0,4.237,0.45,84.0,mb,earthquake,M 4.5 - southeast of the Loyalty Islands
